DIP-74E DIP-19N 
DIP-190165E DIP-59995N DIP-59994N 
DIP-190198E DIP-23841N DIP-60004N 
DIP-190680E DIP-18453N DIP-60172N 
DIP-191039E DIP-46780N DIP-29696N 
DIP-191093E DIP-18951N DIP-60269N 
DIP-191608E DIP-17921N DIP-21479N 
DIP-191609E DIP-17921N DIP-20374N 
DIP-191614E DIP-60417N DIP-52150N 
DIP-191673E DIP-17423N 
DIP-191674E DIP-34965N DIP-17423N 
DIP-191675E DIP-60434N DIP-17423N 
DIP-191676E DIP-34965N 
DIP-191677E DIP-34965N DIP-60434N 
DIP-191678E DIP-60434N 
DIP-191960E DIP-17921N DIP-60481N 
DIP-191961E DIP-18696N DIP-60481N 
DIP-191988E DIP-18339N DIP-46595N 
DIP-191990E DIP-46595N DIP-32682N 
DIP-192086E DIP-29426N DIP-17048N 
DIP-192084E DIP-29426N DIP-18339N 
DIP-192085E DIP-18339N DIP-29425N 
DIP-192087E DIP-17048N DIP-29425N 
DIP-192088E DIP-46595N DIP-17048N 
DIP-192198E DIP-17090N DIP-1381N 
DIP-192199E DIP-17090N DIP-419N 
DIP-192270E DIP-19956N 
DIP-192271E DIP-17196N 
DIP-192398E DIP-60545N DIP-60544N 
DIP-192597E DIP-19447N DIP-19734N 
DIP-195726E DIP-60630N 
DIP-195727E DIP-18037N DIP-60630N 
DIP-195833E DIP-60666N DIP-22904N 
DIP-195836E DIP-60666N DIP-22019N 
DIP-195837E DIP-60667N DIP-22019N 
DIP-195868E DIP-22934N DIP-22596N 
DIP-195869E DIP-22596N DIP-20320N 
DIP-195871E DIP-51950N DIP-22934N 
DIP-195924E DIP-49190N DIP-60701N 
DIP-195925E DIP-49177N DIP-60701N 
DIP-195926E DIP-49177N DIP-20374N 
DIP-195927E DIP-20374N DIP-60701N 
DIP-195968E DIP-60706N DIP-29696N 
DIP-195969E DIP-60712N DIP-18320N 
DIP-195970E DIP-60706N 
DIP-195971E DIP-23658N DIP-60706N 
DIP-195972E DIP-60706N DIP-21670N 
DIP-195985E DIP-22198N DIP-21662N 
DIP-195986E DIP-29021N DIP-21662N 
DIP-195987E DIP-21662N 
DIP-196295E DIP-60666N DIP-60668N 
DIP-196296E DIP-60666N DIP-60669N 
DIP-196297E DIP-60666N DIP-60670N 
DIP-196298E DIP-60666N DIP-60671N 
DIP-196302E DIP-47764N DIP-22934N 
DIP-196340E DIP-60707N DIP-60706N 
DIP-196341E DIP-60706N DIP-60708N 
DIP-196342E DIP-60706N DIP-17264N 
DIP-196343E DIP-60706N DIP-60709N 
DIP-196344E DIP-18462N DIP-60706N 
DIP-196345E DIP-60706N DIP-59503N 
DIP-196346E DIP-60706N DIP-17858N 
DIP-196347E DIP-60710N DIP-60706N 
DIP-196348E DIP-21071N DIP-60706N 
DIP-196349E DIP-60706N DIP-60711N 
DIP-196020E DIP-49060N DIP-22524N 
DIP-196022E DIP-32843N DIP-49060N 
DIP-196165E DIP-60434N DIP-31307N 
DIP-196166E DIP-31307N 
DIP-196174E DIP-48889N DIP-18113N 
DIP-196192E DIP-121N DIP-29550N 
DIP-196193E DIP-32843N DIP-121N 
DIP-196194E DIP-29550N DIP-60771N 
DIP-196197E DIP-29550N 
DIP-196198E DIP-22550N 
DIP-196199E DIP-60773N DIP-121N 
DIP-196204E DIP-60774N DIP-60776N 
DIP-196205E DIP-60775N DIP-60776N 
DIP-196277E DIP-60798N DIP-20922N 
DIP-196278E DIP-20922N DIP-9796N 
DIP-196401E DIP-60735N DIP-18454N 
DIP-196402E DIP-60735N DIP-20060N 
DIP-196373E DIP-22524N DIP-19461N 
DIP-196374E DIP-22524N DIP-60717N 
DIP-196883E DIP-21076N DIP-60952N 
DIP-196687E DIP-21577N DIP-60882N 
DIP-196688E DIP-60883N DIP-21577N 
DIP-196884E DIP-60953N DIP-21076N 
DIP-197006E DIP-18847N DIP-40N 
DIP-197007E DIP-18847N DIP-60982N 
DIP-197148E DIP-24892N DIP-59503N 
DIP-197150E DIP-25500N DIP-49071N 
DIP-197151E DIP-49071N DIP-56915N 
DIP-197152E DIP-61008N DIP-49071N 
DIP-197330E DIP-61067N DIP-52184N 
DIP-197340E DIP-20184N DIP-44607N 
DIP-197350E DIP-52178N DIP-48889N 
DIP-197352E DIP-52178N DIP-22022N 
DIP-197353E DIP-20046N DIP-52178N 
DIP-197354E DIP-52178N DIP-22982N 
DIP-197355E DIP-20046N DIP-22982N 
DIP-197446E DIP-61067N DIP-19286N 
DIP-197447E DIP-20929N DIP-19968N 
DIP-197448E DIP-22041N DIP-19968N 
DIP-197449E DIP-39170N DIP-19968N 
DIP-197509E DIP-29871N DIP-30870N 
DIP-197510E DIP-29871N DIP-20507N 
DIP-197612E DIP-29506N DIP-23697N 
DIP-197613E DIP-29505N DIP-23697N 
DIP-197876E DIP-38648N DIP-61238N 
DIP-197906E DIP-778N DIP-368N 
DIP-198266E DIP-35774N 
DIP-198216E DIP-17615N DIP-61215N 
DIP-198217E DIP-21825N DIP-61215N 
DIP-198218E DIP-61215N DIP-59082N 
DIP-198219E DIP-59081N DIP-35347N 
DIP-198226E DIP-80N DIP-237N 
DIP-198227E DIP-48906N DIP-237N 
