DIP-6779N YLR312W-A 
DIP-6778N YNL251C 
DIP-6776N YOR153W 
DIP-6775N YGR030C 
DIP-6774N YFL041W 
DIP-6773N YLR044C 
DIP-6772N YBR257W 
DIP-6771N YNL284C 
DIP-6770N YNL267W 
DIP-676N YEL002C 
DIP-6769N YDL234C 
DIP-6768N YJR014W 
DIP-6767N YKL167C 
DIP-6766N YAL034C 
DIP-6765N YPR074C 
DIP-6764N YGR194C 
DIP-6763N YPL210C 
DIP-6762N YOR243C 
DIP-6761N YHL032C 
DIP-6760N YEL058W 
DIP-675N YOR351C 
DIP-6759N YOR202W 
DIP-6758N YJL111W 
DIP-6757N YOL068C 
DIP-6756N YGR170W 
DIP-6755N YBR095C 
DIP-6754N YNL101W 
DIP-6753N YDL143W 
DIP-6751N YOL124C 
DIP-6750N YOL097C 
DIP-6749N YML071C 
DIP-6748N YBR089C-A 
DIP-6747N YGR128C 
DIP-6746N YLR060W 
DIP-6745N YJL011C 
DIP-6744N YIR031C 
DIP-6743N YPL007C 
DIP-6742N YPL243W 
DIP-6740N YDR347W 
DIP-673N YCR002C 
DIP-6739N YAL001C 
DIP-6737N YGL133W 
DIP-6735N YDR430C 
DIP-6734N YAL061W 
DIP-6731N YFR010W 
DIP-672N YCR101C 
DIP-6729N YNR043W 
DIP-6728N YNL224C 
DIP-6727N YMR300C 
DIP-6726N YDL115C 
DIP-6724N YBR084W 
DIP-6723N YJL060W 
DIP-6722N YMR128W 
DIP-6721N YDR454C 
DIP-6720N YAL023C 
DIP-671N YCL009C 
DIP-6719N YCR015C 
DIP-6718N YPL101W 
DIP-6716N YKR071C 
DIP-6715N YGL009C 
DIP-6714N YBR086C 
DIP-6713N YNL265C 
DIP-6712N YDL019C 
DIP-6711N YPR057W 
DIP-6710N YJR084W 
DIP-670N YCL027W 
DIP-6709N YMR033W 
DIP-6708N YAL053W 
DIP-6707N YGL142C 
DIP-6706N YOR141C 
DIP-6704N YBL090W 
DIP-6703N YDR405W 
DIP-6702N YNL137C 
DIP-6701N YOR205C 
DIP-6700N YNL222W 
DIP-669N YLR178C 
DIP-6699N YPR035W 
DIP-6698N YHR047C 
DIP-6697N YAL010C 
DIP-6696N YCR071C 
DIP-6695N YJR101W 
DIP-6694N YIL009C-A 
DIP-6693N YMR282C 
DIP-6692N YOR048C 
DIP-6691N YPL045W 
DIP-6690N YER139C 
DIP-6689N YIR033W 
DIP-6688N YMR188C 
DIP-6687N YNL151C 
DIP-6685N YOR356W 
DIP-6683N YFL017W-A 
DIP-6682N YKL003C 
DIP-667N YCL032W 
DIP-6679N YDL045W-A 
DIP-6678N YMR176W 
DIP-6677N YNL076W 
DIP-6675N YKR095W 
DIP-6674N YJR098C 
DIP-6673N YMR158W 
DIP-6672N YGL064C 
DIP-6671N YDR050C 
DIP-6670N YML025C 
DIP-6669N YDR041W 
DIP-6667N YLR180W 
DIP-6666N YGR143W 
DIP-6665N YJL222W 
DIP-6664N YNL186W 
DIP-6661N YLR298C 
DIP-6660N YBR287W 
DIP-665N YGL035C 
DIP-6659N YGL099W 
DIP-6658N YDR062W 
DIP-6657N YKL125W 
DIP-6656N YLR033W 
DIP-6653N YGR132C 
DIP-6652N YMR225C 
DIP-6651N YOL098C 
DIP-6650N YKL059C 
DIP-6649N YNL119W 
DIP-6647N YHR015W 
DIP-6646N YNL029C 
DIP-6645N YPL106C 
DIP-6644N YLR189C 
DIP-6643N YMR251W 
DIP-6642N YBL074C 
DIP-6641N YBR295W 
DIP-6640N YPR036W 
DIP-663N YIL061C 
DIP-6639N YKR008W 
DIP-6638N YCL037C 
DIP-6637N YEL031W 
DIP-6636N YKR018C 
DIP-6635N YER174C 
DIP-6634N YHR196W 
DIP-6633N YPL113C 
DIP-6632N YGL151W 
DIP-6631N YKL139W 
DIP-662N YLR433C 
DIP-6629N YBL022C 
DIP-6628N YPR093C 
DIP-6627N YDR339C 
DIP-6626N YPL236C 
DIP-6625N YDL117W 
DIP-6624N YLR383W 
DIP-6622N YBL029W 
